index,year,package,className,direction
213,2019,hsqldb.src.org.hsqldb.navigator,RowSetNavigatorClient,To
214,2019,hsqldb.src.org.hsqldb.test,TestSubselect,From
215,2019,hsqldb.src.org.hsqldb.test,TestSubselect,To
216,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb,Expression,From
217,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb,Expression,To
218,2014,base.trunk.src.org.hsqldb,StatementCommand,From
219,2014,base.trunk.src.org.hsqldb,StatementCommand,To
220,2010,base.trunk.src.org.hsqldb.types,BitType,From
221,2010,base.trunk.src.org.hsqldb.types,BitType,To
222,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.rowio,RowOutputBinary,From
223,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.rowio,RowOutputBinary,To
224,2019,hsqldb.src.org.hsqldb,QueryExpression,From
225,2019,hsqldb.src.org.hsqldb,QueryExpression,To
226,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.persist,ScaledRAFileInJar,From
227,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.persist,ScaledRAFileInJar,To
228,2012,base.trunk.src.org.hsqldb.test,TestSchemaParse,From
229,2012,base.trunk.src.org.hsqldb.test,TestSchemaParse,To
230,2012,base.trunk.src.org.hsqldb.test,TestAllTypes,From
231,2012,base.trunk.src.org.hsqldb.test,TestAllTypes,To
232,2017,base.trunk.src.org.hsqldb,ExpressionValue,From
233,2017,base.trunk.src.org.hsqldb,ExpressionValue,To
234,2012,base.trunk.src.org.hsqldb,RoutineSchema,From
235,2012,base.trunk.src.org.hsqldb,RoutineSchema,To
236,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb,SchemaObjectSet,From
237,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb,SchemaObjectSet,To
238,2010,base.trunk.src.org.hsqldb.test,TestTypeConversion,From
239,2010,base.trunk.src.org.hsqldb.test,TestTypeConversion,To
240,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb.types,NullType,From
241,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb.types,NullType,To
