versionDate,packageName,className,classSize,duplicateCount,duplicateLines,largestDuplicate
2011,base.trunk.src.org.hsqldb.rowio,RowOutputBinary,302,5,42,10
2014,base.trunk.src.org.hsqldb.rights,GranteeManager,447,6,32,6
2007,base.trunk.src.org.hsqldb.persist,ScriptRunner,195,2,10,5
2007,base.trunk.src.org.hsqldb.test,TestHashStructures,394,10,66,10
2015,base.trunk.src.org.hsqldb.server,OdbcUtil,204,6,51,11
2017,base.trunk.src.org.hsqldb.lib,RefCapablePropertyResourceBundle,258,2,30,15
2014,base.trunk.src.org.hsqldb.jdbc,JDBCStatementBase,140,1,5,5
2011,base.trunk.src.org.hsqldb.lib,KMPSearchAlgorithm,278,23,211,16
2007,base.trunk.src.org.hsqldb.types,BlobType,150,14,96,13
2013,base.trunk.src.org.hsqldb.test,TestOdbcService,290,27,235,27
2014,base.trunk.src.org.hsqldb.test,TestBug785429,86,3,18,7
2013,base.trunk.src.org.hsqldb.types,DTIType,335,1,6,6
2013,base.trunk.src.org.hsqldb.persist,ScaledRAFile,334,5,32,9
2014,base.trunk.src.org.hsqldb.lib,LongKeyHashMap,161,20,214,19
2013,base.trunk.src.org.hsqldb.util,Tree,253,10,101,20
2015,base.trunk.src.org.hsqldb,DatabaseManager,279,8,62,9
2013,base.trunk.src.org.hsqldb,StatementProcedure,239,4,32,12
2007,base.trunk.src.org.hsqldb,Table,1907,26,184,14
2013,base.trunk.src.org.hsqldb.jdbc,JDBCDataSource,79,5,40,11
2015,base.trunk.src.org.hsqldb.persist,RowStoreAVLHybrid,264,9,69,12
2012,base.trunk.src.org.hsqldb,ExpressionLike,255,3,15,5
2015,base.trunk.src.org.hsqldb.jdbc,JDBCDatabaseMetaData,1061,12,75,11
2011,base.trunk.src.org.hsqldb.navigator,RowSetNavigatorData,456,19,175,16
2011,base.trunk.src.org.hsqldb.types,Charset,111,10,65,13
2019,base.trunk.src.org.hsqldb.types,DTIType,337,1,6,6
2017,base.trunk.src.org.hsqldb.persist,RAFileSimple,89,5,50,19
2013,base.trunk.src.org.hsqldb.test,AllSimpleTests,33,1,5,5
2017,base.trunk.src.org.hsqldb,TransactionManagerMVCC,564,24,221,23
2015,base.trunk.src.org.hsqldb,NumberSequence,503,23,306,26
2017,base.trunk.src.org.hsqldb.persist,RowStoreAVLDiskData,155,12,86,15
2017,base.trunk.src.org.hsqldb,RowAction,653,13,103,13
2007,base.trunk.src.org.hsqldb.navigator,DataRowSetNavigator,338,6,40,9
2013,base.trunk.src.org.hsqldb.test,TestDbBackup,447,9,52,8
2015,base.trunk.src.org.hsqldb.lib,OrderedLongKeyHashMap,145,16,178,19
2014,base.trunk.src.org.hsqldb.lib,FileUtil,300,1,15,15
2014,base.trunk.src.org.hsqldb.lib,ArrayUtil,915,27,165,13
2013,base.trunk.src.org.hsqldb,StatementExpression,109,13,132,24
2007,base.trunk.src.org.hsqldb,Parser,2645,37,215,11
2013,base.trunk.src.org.hsqldb.index,IndexAVLMemory,330,8,66,12
2015,base.trunk.src.org.hsqldb.test,TestTextTable,360,2,10,5
2010,base.trunk.src.org.hsqldb,RangeVariable,1245,13,77,7
2010,base.trunk.src.org.hsqldb,FunctionSQLInvoked,217,4,30,10
2014,base.trunk.src.org.hsqldb,TransactionManagerCommon,533,21,134,8
2015,base.trunk.src.org.hsqldb,RangeVariableResolver,1113,10,60,8
2019,base.trunk.src.org.hsqldb.lib,IntKeyHashMap,107,20,247,25
2019,base.trunk.src.org.hsqldb,ParserDML,878,26,192,17
2011,base.trunk.src.org.hsqldb.lib.tar,TarReader,466,4,22,7
2013,base.trunk.src.org.hsqldb,TriggerDef,416,9,83,20
2010,base.trunk.src.org.hsqldb.sample,FindFile,80,2,11,6
2012,base.trunk.src.org.hsqldb.navigator,RowSetNavigator,182,1,15,15
2010,base.trunk.src.org.hsqldb.test,TestLikePredicateOptimizations,168,7,45,8
2011,base.trunk.src.org.hsqldb.test,TestSql,651,14,210,94
2011,base.trunk.src.org.hsqldb.test,TestSchemaParse,759,1,5,5
2015,base.trunk.src.org.hsqldb,TransactionManagerCommon,546,19,124,8
2014,base.trunk.src.org.hsqldb.types,ClobInputStream,95,4,51,22
2011,base.trunk.src.org.hsqldb.types,Types,352,4,41,14
2014,base.trunk.src.org.hsqldb,SessionData,471,10,66,12
2017,base.trunk.src.org.hsqldb.persist,RowStoreAVLHybridExtended,74,1,6,6
2008,base.trunk.src.org.hsqldb.scriptio,ScriptWriterText,174,5,40,8
2011,base.trunk.src.org.hsqldb.store,BitMap,346,13,107,13
2013,base.trunk.src.org.hsqldb.jdbc,JDBCConnection,830,11,100,22
2015,base.trunk.src.org.hsqldb.lib,HsqlArrayList,209,4,29,8
2019,base.trunk.src.org.hsqldb.jdbc,JDBCClobFile,581,29,268,34
2013,base.trunk.src.org.hsqldb.test,TestTriggers,109,2,10,5
2012,base.trunk.src.org.hsqldb,ExpressionColumnAccessor,87,2,15,8
2013,base.trunk.src.org.hsqldb,TableBase,334,1,5,5
