year,originPackage,originClass,originLocation,destPackage,destClass,destLocation,duplicateSize
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,CharacterType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/CharacterType.java|(1685,192,<36,0>,<42,24>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,NumberType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/NumberType.java|(1685,192,<36,0>,<42,24>)",6
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BlobDataMemory,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BlobDataMemory.java|(5521,159,<190,0>,<200,37>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BlobDataRemoteClient,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BlobDataRemoteClient.java|(4886,159,<151,0>,<161,37>)",7
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.jdbc,jdbcResultSetMetaData,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/jdbc/jdbcResultSetMetaData.java|(37379,1437,<912,0>,<939,5>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.jdbc,jdbcResultSet,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/jdbc/jdbcResultSet.java|(301787,1437,<6878,0>,<6905,5>)",7
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.jdbc,jdbcDatabaseMetaData,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/jdbc/jdbcDatabaseMetaData.java|(261376,1435,<6143,0>,<6170,5>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.jdbc.pool,ManagedPoolDataSource,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/jdbc/pool/ManagedPoolDataSource.java|(19386,1437,<468,0>,<495,5>)",7
2008,hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcConnectionCreateStatementTest,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/jdbcConnectionCreateStatementTest.java|(3048,366,<78,0>,<87,5>)",hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcConnectionPrepareCallTest,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/jdbcConnectionPrepareCallTest.java|(3026,366,<77,0>,<86,5>)",8
2007,base.trunk.src.org.hsqldb.jdbc,jdbcBlob,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcBlob.java|(25824,1794,<644,0>,<685,62>)",base.trunk.src.org.hsqldb.jdbc,jdbcClob,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcClob.java|(30953,1930,<743,0>,<789,62>)",8
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb,Parser,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/Parser.java|(30061,173,<931,0>,<939,9>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb,DDLParser,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/DDLParser.java|(99613,173,<3365,0>,<3373,9>)",6
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,IntervalType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/IntervalType.java|(8769,490,<284,0>,<293,44>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,Type,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/Type.java|(18889,490,<568,0>,<577,44>)",9
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,TestQuotes,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/test/TestQuotes.java|(1625,178,<33,0>,<38,26>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.sample,FindFile,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/sample/FindFile.java|(3409,178,<69,0>,<74,26>)",5
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,ClobDataRemoteClient,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/ClobDataRemoteClient.java|(3034,120,<89,0>,<97,5>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BlobDataRemoteClient,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BlobDataRemoteClient.java|(4886,120,<151,0>,<159,5>)",6
2007,base.trunk.src.org.hsqldb.test,TestJDBCSavepoints,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestJDBCSavepoints.java|(16266,319,<482,0>,<494,34>)",base.trunk.src.org.hsqldb.test,TestDatabaseMetaData,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestDatabaseMetaData.java|(8491,257,<213,0>,<222,34>)",6
